名称,省,市,县,地址,介绍,985,211,软科排名,学校类型,学校属性,特色专业,2021分数线,2020分数线,2019分数线
贵州大学北阿拉巴马国际工程技术学院,贵州,贵阳市,花溪区,贵州省贵阳市花溪区,2021年11月，教育部下达《关于同意设立贵州大学北阿拉巴马国际工程技术学院的函》，批复设立贵州大学北阿拉巴马国际工程技术学院，为贵州大学与美国北阿拉巴马大学合作举办的贵州大学二级学院，开展新工科背景下的本科和研究生教育，填补了贵州省高校以工科为主合作办学机构的空白，是两校国际合作的新里程碑。学院的办学宗旨是综合利用双方优秀的教育资源，利,否,是,,理工类,中外合作办学,"['机械设计制造及其自动化', '环境科学', '化学工程与工艺']",,,
益阳师范高等专科学校,湖南,益阳市,赫山区,湖南省益阳市赫山区益阳大道（西）238号,益阳师范高等专科学校是经湖南省人民政府批准、教育部备案的全日制公办普通高等学校。学校脱胎于1551年创建的龙洲书院，筑基于1925年更名的益阳县立龙洲师范学校，起始于1949年10月1日定名的湖南省益阳师范学校(由益阳县立龙洲师范学校和湖南省立第五师范学校合并成立)。2020年9月，益阳市委常委会议决定以益阳师范学校为主体，建设一所培养义务教育、学前教育教师的,否,否,,师范类,公办,"['学前教育', '现代教育技术', '工业机器人技术', '婴幼儿托育服务与管理', '音乐表演', '舞蹈表演']",,,
重庆五一职业技术学院,重庆,重庆市,巴南区,重庆市巴南区渝南大道1001号,重庆五一职业技术学院肇始于1951年，是经重庆市人民政府批准成立的全日制公办职业高校。学院位于重庆市巴南区渝南大道1001号，占地600余亩，总建筑面积近16万平方米，绿化面积27万平方米，配套设施完备，功能先进齐全，各类设备总值1.2亿元。培养的选手在世界技能大赛上已累计获得2金4银4优胜奖，位居全国前列。业设置对接市场。学院坚持市场需求导向，按照“专业对,否,否,,综合类,公办,"['电梯工程技术', '机电一体化技术', '机械设计与制造', '汽车检测与维修技术', '人物形象设计', '智慧健康养老服务与管理']",,,
重庆医科大学国际医学院,重庆,重庆市,渝中区,重庆市渝中区医学院路1号,重庆医科大学国际医学院（InternationalMedicalCollegeofChongqingMedicalUniversity）成立于2020年，是为加强我校“双一流”建设、贯彻开放式办学理念、推进国际化教育和交流，依托学校的专业优势和特色而设立的二级学院。学院秉承“继承发扬、开放合作、求变创新、砥砺奋进”的发展理念，主要服务于我校与英国莱斯特大学合作举办的临床医学中外合作办学教育教学工作。学院旨在有,否,否,,医药类,中外合作办学,['临床医学'],,,
西南大学西塔学院,重庆,重庆市,北碚区,重庆市北碚区天生路2号,,否,是,,其他,中外合作办学,"['经济学', '生物技术', '电子信息工程', '食品质量与安全']",,,
烟台科技学院,山东,烟台市,蓬莱市,山东省烟台市蓬莱区仙境西路34号,烟台科技学院是一所以工学、管理学、艺术学为主，多学科协调发展的全日制普通本科高校，具有颁发国家承认的统招本、专科学历资格，并具有学士学位授予权。学校前身是创建于2005年的济南大学泉城学院，2019年加入中国教育集团，2021年转设更名为烟台科技学院。学校坐落在享有“人间仙境”美誉的历史文化名城、国家优秀旅游城市——山东蓬莱，面朝大海，风景秀丽，,否,否,,综合类,民办,"['财务管理', '市场营销', '英语', '机械设计制造及其自动化', '电气工程及其自动化', '经济学', '新闻学', '新闻采编与制作', '视觉传达设计', '环境设计']", 文科：536.00 理科：430.00 , 文科：515.00 理科：435.00 , 文科：523.00 理科：449.00 
白银希望职业技术学院,甘肃,白银市,白银区,甘肃省白银市银西生态产业园南京路,白银希望职业技术学院是经甘肃省人民政府批准，教育部备案的一所普通高等院校。学院坐落于魅力铜城白银市，毗邻兰州，横跨黄河。学院占地650亩，总投资13亿元，现在籍学生2000余名。学院开设专业：大数据技术、大数据与会计、电子商务、汽车制造与试验技术、新能源汽车技术、城市轨道交通运营管理、健康管理、体育保健与康复、高速铁路客运服务、婴幼儿托育服务,否,否,,其他,民办,"['汽车制造与试验技术', '新能源汽车技术', '高速铁路客运服务', '城市轨道交通运营管理', '大数据技术', '健康管理', '婴幼儿托育服务与管理', '大数据与会计', '电子商务', '体育保健与康复']",,,
兰州航空职业技术学院,甘肃,兰州市,安宁区,甘肃省兰州市安宁区万新路274号,兰州航空职业技术学院是经甘肃省人民政府批准成立、教育部备案的一所全日制普通高等学校，层次为大专，是甘肃省唯一一所航空类公办高等学校，具有60多年来从事军民融合的航空航天业装备制造类技术技能人才的培养优势。学院位于兰州市安宁区万新北路274号，前身是创建于1960年的万里工学院。学院航空特色鲜明，以应用型和军民融合型为办学定位，紧紧围绕国家、甘,否,否,,,公办,"['机械设计与制造', '数控技术', '机械制造及自动化', '智能焊接技术', '模具设计与制造', '智能制造装备技术', '智能控制技术', '工业机器人技术', '飞机机载设备装配调试技术', '无人机应用技术']",,,
宝鸡中北职业学院,陕西,宝鸡市,金台区,陕西省宝鸡市金台区蟠龙新区龙翔大道066号,省政府批准、教育部备案，纳入国家统招计划的全日制普通高校独立颁发全日制普通大专文凭，全国通用，可上教育部学信网查询宝鸡中北职业学院是经陕西省政府批准、教育部备案、陕西中北铁道教育集团举办、纳入国家统招计划的省属全日制普通高等院校。学院前身是成立于1997年的陕西中北专修学院，现有教职工200多名，在校学生2500余名。陕西中北铁道教育集团旗下的3,否,否,,,民办,"['跨境电子商务', '学前教育']",,,
贵州文化旅游职业学院,贵州,贵阳市,清镇市,贵州省贵阳市清镇市百花路31号,"贵州文化旅游职业学院是经贵州省人民政府批准,国家教育部备案，贵州省文化和旅游厅直管的公办全日制普通高等院校。学院办学层次为高职(专科)教育，同时开展中等职业教育，是一所集教育、培训、技能等级评定为一体,以培养文化旅游类技能型人才为主的高等院校，是全国旅游人才培训基地、“省级职业院校旅游专业骨干师资培训基地”、“贵州省旅游职业教育集团理事",否,否,,其他,公办,"['旅游管理', '酒店管理与数字化运营', '烹饪工艺与营养', '美容美体艺术', '歌舞表演']",,,
